Faculty Name,Link to Profile
Anshul Kumar,http://pec.ac.in/ece/anshul-kumar
Arun Kumar Singh,http://pec.ac.in/arun-kumar-singh
Bipan Kaushal,http://pec.ac.in/bipan-kaushal
Deepak Bagai,http://pec.ac.in/deepak-bagai
Divya,http://pec.ac.in/divya-0
Gaurav Mani Khanal,http://pec.ac.in/ece/gaurav-mani-khanal
Jasbir Kaur,http://pec.ac.in/jasbir-kaur
Jyoti Kedia,http://pec.ac.in/jyoti-kedia
Kalpana Lamba,http://pec.ac.in/ece/kalpana-lamba
Kundan Kumar,http://pec.ac.in/ece/kundan-kumar
Nagendra Shah,http://pec.ac.in/nagendra-shah
Neelam Rup Prakash,http://pec.ac.in/neelam-rup-prakash
Neelu Jain,http://pec.ac.in/neelu-jain
Neena Gupta,http://pec.ac.in/neena-gupta
Poonam Lohan,http://pec.ac.in/ece/poonam-lohan
Rita Mahajan,http://pec.ac.in/rita-mahajan
Shantanu Agnihotri,http://pec.ac.in/ece/shantanu-agnihotri
Sukhwinder Singh,http://pec.ac.in/sukhwinder-singh
Ajay Mittal,http://pec.ac.in/ajay-mittal
Alka Jindal,http://pec.ac.in/alka-jindal
Amandeep Kaur,http://pec.ac.in/cse/amandeep-kaur
Divya Bansal,http://pec.ac.in/divya-bansal
Manish Kumar,http://pec.ac.in/cse/manish-kumar
Mayank Gupta,http://pec.ac.in/cse/mayank-gupta
Padmavati,http://pec.ac.in/padmavati
Poonam Saini,http://pec.ac.in/poonam-saini
Rajesh Kumar Bhatia,http://pec.ac.in/rajesh-kumar-bhatia
Rajni Sethi,http://pec.ac.in/cse/faculty/rajni-sethi
Rattan Deep Kaur,http://pec.ac.in/cse/faculty/rattan-deep-kaur
Rupali Verma,http://pec.ac.in/rupali-verma
Sachin Chaudhary,http://pec.ac.in/sachin-chaudhary
Sanatan Sukhija,http://pec.ac.in/sanatan-sukhija
Sandeep Kumar Harit,http://pec.ac.in/sandeep-kumar-harit
Sanjeev Sofat,http://pec.ac.in/sanjeev-sofat
Savina Singla,http://pec.ac.in/savina-singla
Shailendra Singh,http://pec.ac.in/shailendra-singh
Shilpa,http://pec.ac.in/shilpa
Sudesh Rani,http://pec.ac.in/sudesh-rani
